Jahr,Stadtteil,Gesamt,Frauen,ausländische Bevölkerung,Anteil ausländischer Bevölkerung,Billeter-Maß J,Jugendquote,Altenquote,Altersdurchschnitt
2021,Werder,3087,1549,130,4.2112082928409462,-1.1088850174216027,21.869488536155202,59.611992945326278,49.374959507612566
2021,Alte Neustadt,11742,5514,2905,24.740248679952309,-0.36529548088064889,16.047459252157239,24.676414189837008,39.806506557656277
2021,Neue Neustadt,15456,7391,3376,21.842650103519667,-0.547752808988764,26.614561908679558,32.3323735088441,42.715450310559007
2021,Neustädter See,11023,5649,1718,15.585593758504945,-1.1780857740585775,29.673484033010407,68.083961248654461,49.524222081103147
2021,Kannenstieg,5998,3159,1128,18.806268756252084,-1.1981327800829875,36.328263176512202,75.840113194198793,49.1133711237079
2021,Neustädter Feld,9478,4763,797,8.4089470352395015,-1.0318346830494276,25.43993879112471,55.853098699311396,48.181261869592738
2021,Sülzegrund,10,5,0,0,.,.,.,.
2021,Großer Silberberg,0,0,0,0,0,0,0,0
2021,Nordwest,4597,2350,64,1.3922123123776375,-1.590497737556561,27.874702616970659,54.401268834258524,50.218947139438761
2021,Alt Olvenstedt,3904,1954,56,1.4344262295081966,-1.3151999999999999,26.393581081081081,38.471283783783782,47.665983606557376
2021,Neu Olvenstedt,11471,5778,1176,10.251939673960422,-0.75246656434992332,30.043174036027985,40.732469852612773,44.667552959637348
2021,Stadtfeld Ost,25206,12898,1617,6.4151392525589142,-0.40955763143673279,23.88498709406327,27.420613482201812,41.362294691740061
2021,Stadtfeld West,14522,7670,379,2.6098333562870129,-1.2177514792899409,24.109992634421801,54.161551681807019,49.454896019831978
2021,Diesdorf,3911,1939,56,1.4318588596266939,-0.88436363636363635,32.819194515852615,34.747215081405315,44.828816159549987
2021,Sudenburg,18076,9018,2515,13.913476432839122,-0.49772623919963621,25.017391304347825,32.165217391304346,42.47958619163532
2021,Ottersleben,10355,5280,148,1.429261226460647,-1.1429383347541915,27.837573385518592,41.030658838878011,47.383534524384352
2021,Lemsdorf,2180,1097,94,4.3119266055045875,-0.99037304452466912,23.730098559514783,41.546626231993933,47.553669724770643
2021,Leipziger Straße,15555,7972,3116,20.032144005143042,-0.52677100494233942,27.512831479897347,38.815226689478187,42.891192542590808
2021,Reform,11725,6302,830,7.0788912579957355,-1.6948952493360874,27.718926553672318,79.290254237288138,52.71415778251599
2021,Hopfengarten,4445,2185,63,1.4173228346456692,-1.2907216494845362,26.271186440677969,44.953775038520796,48.874578177727784
2021,Beyendorfer Grund,20,6,7,0,.,.,.,.
2021,Buckau,6264,3063,531,8.4770114942528725,-0.3249708284714119,22.725183823529413,21.208639705882355,40.149904214559385
2021,Fermersleben,3569,1690,491,13.757355001400953,-0.56253740275284259,24.741824440619624,28.829604130808949,42.213084897730454
2021,Salbke,4548,2186,540,11.87335092348285,-0.88348416289592757,26.752767527675275,41.070110701107012,45.92194371152155
2021,Westerhüsen,3323,1658,148,4.453806801083358,-0.98369098712446357,29.865424430641824,42.132505175983439,46.200270839602766
2021,Brückfeld,3413,1739,244,7.1491356577790794,-0.6335245379222435,23.540401681457261,35.871088276506306,43.94887196015236
2021,Berliner Chaussee,2336,1167,22,0.94178082191780821,-1.2151088348271446,25.650035137034433,38.510189739985947,47.563356164383563
2021,Cracau,8089,4177,323,3.9930770181728277,-0.90036341611144766,21.713709677419356,41.37096774193548,46.741686240573621
2021,Prester,2039,1014,10,0.49043648847474253,-1.3716951788491447,26.954397394136809,39.087947882736159,48.129720451201571
2021,Zipkeleben,269,128,.,.,0.2846153846153846,59.740259740259738,14.935064935064934,31.366171003717472
2021,Kreuzhorst,0,0,0,0,0,0,0,0
2021,Herrenkrug,1351,605,319,23.612139156180607,-0.46088193456614507,21.293199554069119,29.31995540691193,41.267579570688376
2021,Rothensee,2954,1420,196,6.6350710900473935,-0.62939796716184515,28.657865786578657,33.828382838283829,43.327352742044688
2021,Industriehafen,170,22,128,75.294117647058826,-9.0909090909090912E-2,5.806451612903226,3.870967741935484,34.5
2021,Gewerbegebiet Nord,17,7,.,.,.,.,.,.
2021,Barleber See,78,41,0,0,.,.,.,.
2021,Pechau,517,251,.,.,-1.6,27.243589743589741,38.461538461538467,49.277562862669242
2021,Randau-Calenberge,557,272,4,0.71813285457809695,-1.1542553191489362,28.915662650602407,38.855421686746986,47.349192100538602
2021,Beyendorf-Sohlen,1262,614,10,0.79239302694136293,-1.0739030023094689,27.815468113975577,43.419267299864316,46.886687797147388
2021,Magdeburg,239970,120905,26290,10.955536108680251,-0.75749889396844128,24.971608221151183,41.20339593374328,45.370446305788221
